timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
2024-01-01 00:01:00,5,209,44.94785004124701,862,50,23,Cloudy,17.926830469092273,37.64092658255312,0,Green
2024-01-01 00:03:00,5,699,42.269696887144505,709,43,21,Sunny,19.21294144595952,61.5509781758288,0,Yellow
2024-01-01 00:04:00,5,639,72.18579060090265,594,34,14,Cloudy,11.349244035684794,77.49450578357947,0,Red
2024-01-01 00:09:00,5,970,22.1563204952932,228,60,27,Cloudy,10.804131758065784,82.45093399763721,0,Yellow
2024-01-01 00:12:00,5,852,27.54345613953357,408,63,30,Foggy,24.005235068523625,45.85463620873274,0,Yellow
2024-01-01 00:17:00,5,603,48.08924847806182,706,81,17,Windy,33.40867368677708,70.544715309851,0,Yellow
2024-01-01 00:21:00,5,986,60.0119996330553,289,43,48,Rainy,27.558460852546546,70.06043706049721,0,Green
2024-01-01 00:35:00,5,85,74.36395314118192,737,56,47,Cloudy,22.98066860473819,41.80740801550797,0,Yellow
2024-01-01 00:37:00,5,790,63.491389958901024,354,52,27,Cloudy,10.289304968881757,57.48496138054383,0,Yellow
2024-01-01 00:47:00,5,757,54.52132419509336,406,10,3,Rainy,27.488611844138664,61.39098405109296,0,Green
2024-01-01 00:53:00,5,477,39.92596192358819,371,51,22,Sunny,30.530005083748865,43.57825716907407,0,Red
2024-01-01 01:02:00,5,861,72.75530689078307,98,97,15,Foggy,31.934363013534785,54.08382697876166,0,Red
2024-01-01 01:11:00,5,819,62.60812590788395,784,71,7,Windy,23.078252822655607,73.43905591488908,0,Yellow
2024-01-01 01:12:00,5,663,76.24270628985924,569,82,5,Cloudy,25.825722635193564,69.7169751887936,0,Yellow
2024-01-01 01:14:00,5,852,48.40405288969475,411,26,38,Sunny,16.481003384756754,70.26674990246616,0,Yellow
2024-01-01 01:20:00,5,711,51.84424131721015,620,82,44,Sunny,20.402963610796498,78.45333305995806,0,Green
2024-01-01 01:22:00,5,491,58.67547048454062,113,41,30,Foggy,25.451091978093437,34.18037186541527,0,Red
2024-01-01 01:23:00,5,597,53.67761257690417,112,28,6,Sunny,11.577367029580392,56.43130463904879,0,Yellow
2024-01-01 01:36:00,5,961,58.56913488801046,292,11,5,Cloudy,25.17149519502321,37.120349524308246,0,Yellow
2024-01-01 01:45:00,5,286,75.83640829079222,409,78,20,Windy,21.562255260139835,87.249340166622,0,Yellow
2024-01-01 01:52:00,5,921,41.25606589046279,838,29,5,Cloudy,28.675212489923982,75.17580396029169,0,Red
2024-01-01 01:55:00,5,370,57.254515413062485,507,76,19,Sunny,10.263151157742536,82.6583322952665,0,Green
2024-01-01 02:02:00,5,792,71.83769484410061,894,1,31,Windy,30.933253848326025,64.75606977451196,0,Red
2024-01-01 02:06:00,5,509,28.21994378322028,745,37,23,Cloudy,15.019168226483378,67.89866936468981,0,Yellow
2024-01-01 02:08:00,5,549,51.633959645234754,693,17,42,Cloudy,21.00319241365816,43.93108700821752,0,Yellow
2024-01-01 02:09:00,5,787,43.51149778454473,458,26,11,Windy,13.08264513303562,82.72500833006961,0,Green
2024-01-01 02:11:00,5,703,26.533598838862343,441,71,20,Sunny,25.630426466321307,43.78564049133158,0,Yellow
2024-01-01 02:13:00,5,530,49.89416002995638,897,73,18,Foggy,26.966235929571667,78.27195574458743,0,Red
2024-01-01 02:19:00,5,390,75.16324427436035,235,77,17,Foggy,19.253697958760423,42.54509052952381,0,Red
2024-01-01 02:21:00,5,810,32.83742232129421,279,5,35,Sunny,32.35268294511833,39.374646855115,0,Green
2024-01-01 02:37:00,5,391,66.88093043686438,483,54,48,Foggy,30.701488568321903,86.7901452841926,0,Yellow
2024-01-01 02:42:00,5,61,70.12446985052756,75,24,26,Cloudy,20.115147073671576,30.08207906181221,0,Yellow
2024-01-01 02:58:00,5,997,29.228421478496465,817,75,25,Windy,16.26108504384009,66.23084191087628,0,Red
2024-01-01 03:06:00,5,179,21.95707690049399,165,90,29,Rainy,10.541197564681198,41.33550401034748,0,Yellow
2024-01-01 03:11:00,5,817,79.54653736248673,489,11,30,Foggy,28.590716965018668,84.79107624546504,0,Green
2024-01-01 03:18:00,5,213,78.46233432075545,382,47,39,Windy,31.277770646188863,69.51735053778566,1,Red
2024-01-01 03:26:00,5,430,33.49341300895475,317,28,16,Foggy,31.2801846361186,45.88603042468526,1,Green
2024-01-01 03:58:00,5,303,69.4872713766672,562,86,14,Cloudy,18.41026367958173,70.4413796636156,0,Red
2024-01-01 03:59:00,5,179,50.939564351387205,177,20,1,Rainy,28.15455337366153,38.00379533644856,0,Yellow
2024-01-01 04:17:00,5,506,31.46712256976016,839,29,28,Foggy,22.86199105327577,44.525319977130295,0,Green
2024-01-01 04:22:00,5,378,65.54413635550254,198,68,21,Sunny,33.03307417742033,40.11621968295254,0,Green
2024-01-01 04:28:00,5,129,27.52138854754314,73,32,25,Windy,27.975833469747187,87.644406575175,0,Yellow
2024-01-01 04:36:00,5,834,42.84138086965194,190,10,0,Rainy,34.92554511404243,42.9591165437702,0,Green
2024-01-01 04:41:00,5,270,51.055778078931326,712,1,21,Sunny,27.830475126927627,65.87309618175594,0,Yellow
2024-01-01 04:45:00,5,471,41.70261529157484,181,51,49,Cloudy,11.483455770159749,83.27411029969925,0,Yellow
2024-01-01 04:47:00,5,739,57.929569951187446,471,84,46,Foggy,32.077985166869375,67.48397111373686,0,Green
2024-01-01 04:55:00,5,568,29.54150022441568,29,31,9,Sunny,28.462099304652643,42.34348965177998,0,Green
2024-01-01 04:56:00,5,204,30.81174524768888,453,25,49,Foggy,30.152054134873183,48.70099541075768,0,Red
2024-01-01 05:00:00,5,790,27.507515428504817,671,96,12,Cloudy,27.836548709162496,89.35075399606998,0,Green
2024-01-01 05:01:00,5,647,71.02829688565026,857,0,0,Rainy,10.089438615000784,83.32720600297304,0,Red
2024-01-01 05:03:00,5,559,21.851474258484348,819,4,46,Sunny,10.108601694602248,55.37220694380826,0,Green
2024-01-01 05:08:00,5,454,29.43957680010969,770,24,12,Windy,14.820069866915166,81.43202005947204,0,Green
2024-01-01 05:09:00,5,295,27.13246347062432,520,56,27,Sunny,19.73420025953501,52.50326321313217,0,Green
2024-01-01 05:27:00,5,222,50.065272815731824,586,71,0,Rainy,18.84507076609939,37.715208775876405,0,Yellow
2024-01-01 05:33:00,5,444,48.935861675131534,149,76,18,Windy,29.51301439674016,71.56689038570062,0,Red
2024-01-01 05:38:00,5,232,33.603642939797794,825,87,8,Cloudy,21.38677926823419,86.72198235776322,0,Yellow
2024-01-01 05:49:00,5,276,71.04081563629077,628,62,49,Rainy,21.758681467828342,87.30169573595558,0,Green
2024-01-01 05:57:00,5,603,31.485660829972552,306,48,32,Rainy,11.439296632569928,45.12034027268297,0,Green
2024-01-01 05:59:00,5,674,76.09966591032592,62,6,10,Windy,19.57700703332963,34.669407878229954,0,Yellow
2024-01-01 06:03:00,5,169,34.827893279683515,289,59,15,Rainy,18.457139805247728,55.235434449413646,0,Green
2024-01-01 06:05:00,5,474,25.035172149285764,755,15,33,Cloudy,13.112631359142306,87.267625652318,1,Green
2024-01-01 06:09:00,5,609,32.324084508681764,602,28,8,Foggy,13.280387073292165,39.91946603883251,0,Red
2024-01-01 06:19:00,5,808,39.51523435547311,210,56,9,Foggy,18.660821224272897,63.08941772108021,0,Green
2024-01-01 06:21:00,5,825,74.88386689739022,838,57,26,Rainy,30.63037364379608,30.94646338628676,0,Red
2024-01-01 06:24:00,5,994,78.6262539830944,739,19,30,Cloudy,24.22767450907009,70.91237660980602,0,Red
2024-01-01 06:31:00,5,630,32.26643443697281,740,22,20,Cloudy,18.325980884084856,65.12907055025872,0,Yellow
2024-01-01 06:32:00,5,465,51.182255773669056,851,61,9,Rainy,19.999053114598446,74.22526143026113,0,Yellow
2024-01-01 06:34:00,5,498,56.32896015286428,206,17,6,Cloudy,25.65448632311287,45.63587318230657,0,Yellow
